Age,Gender,Experience_Years,Year_Salary,Bonus_Stocks,Vacation_Days,Work_Language,Company_Type,Fired_By_Corona
28,Male,2,47000,0,26,German,Publishing and Technology,No
31,Male,4,62000,8000,30,German,Product,No
29,Male,6,56000,0,28,English,Startup,No
42,Male,17,75000,8000,28,English,Startup,No
40,Male,13,90000,10000,30,English,Product,No
27,Male,6,82000,12000,30,English,Product,No
29,Male,8,75000,0,30,English,Product,No
37,Male,18,156000,0,0,English,Startup,No
23,Male,5,53000,0,30,English,Product,No
35,Male,14,77000,0,30,English,Startup,No
39,Male,11,180000,150000,28,English,Product,No
33,Male,10,55000,0,27,German,Product,No
38,Male,15,100000,120000,27,English,Startup,No
31,Male,3,70000,0,30,English,Startup,No
24,Male,1,57600,7000,27,English,Consulting / Agency,No
26,Female,2,47000,0,25,English,Consulting / Agency,No
30,Male,10,70000,0,27,English,Startup,No
33,Male,9,100000,0,29,German,Product,No
33,Male,11,65000,0,28,English,Startup,No
31,Male,10,80000,13500,27,English,Product,No
33,Male,2,54000,0,30,English,Market Research ,No
43,Male,21,72000,0,28,German,Consulting / Agency,No
36,Male,14,78000,0,24,English,Startup,No
33,Male,9,60000,25000,30,German,Consulting / Agency,No
36,Female,1,60000,5000,26,English,Consulting / Agency,No
27,Female,1,50000,0,27,English,Startup,No
33,Male,12,120000,50000,30,English,Product,No
33,Male,2,62000,0,30,English,Product,No
40,Male,11,60000,1000,28,German,Product,No
24,Female,2,58000,0,30,German,Consulting / Agency,No
40,Male,17,81000,7000,30,German,Product,No
37,Male,13,70000,0,25,English,Product,No
35,Male,6,80000,0,30,English,Product,No
39,Male,7,70000,70000,28,English,Startup,No
25,Male,6,63700,1600,29,English,e-commerce,No
27,Male,4,65000,0,30,English,Product,No
30,Male,3,30000,0,30,English,Product,No
28,Male,4,70000,5500,28,English,Product,No
36,Female,10,48000,0,30,German,Product,No
29,Female,9,66000,0,25,English,Startup,No
37,Male,3,67000,0,21,English,Product,No
34,Male,10,70000,0,28,English,Product,No
39,Male,20,122000,45000,28,English,Product,No
32,Male,6,58000,0,30,German,Product,Yes
37,Male,6,69200,0,28,English,SaaS,No
32,Male,7,72000,0,29,English,Startup,No
35,Male,16,84000,0,28,English,Product,No
26,Male,5,59000,0,26,English,Startup,No
32,Male,7,68000,0,30,English,Startup,No
36,Male,10,88000,0,28,German,Product,No
26,Male,5,71000,0,27,English,Product,No
28,Male,5,65000,0,30,English,Product,No
36,Male,5,50000,15000,30,English,Startup,No
40,Male,18,160000,0,15,German,Consulting / Agency,No
29,Male,4,37500,0,16,Italian,Consulting / Agency,No
32,Male,10,65000,5000,24,English,Startup,No
28,Male,5,56000,8000,25,English,Startup,No
27,Male,7,80000,0,26,English,Startup,No
33,Male,16,83000,17000,27,English,Product,No
34,Male,5,76500,0,3,English,Product,No
31,Male,8,60000,0,30,English,Product,No
31,Male,8,79000,5000,30,English,Product,No
31,Male,5,90000,18000,27,English,Product,No
27,Male,6,82000,38500,28,English,Product,Yes
